Endpoint,StatusCode,Count,TPS,Avg,P90,P95
"v1/stores?",2,2,"0.00",,,
"v1/stores?",20,2,"0.00",,,
"v1/stores?",200,891769,"247.71","23.42","40.62","48.09"
"v1/stores/store",200,3339,"0.93","9.20","11.26","13.00"
"v1/stores/store",301,2081,"0.58",,,
"v1/stores/store",404,17356,"4.82","9.10","11.14","13.00"
