Endpoint,ResponseStatus,Count,TPS,Avg,P90,P95
"Fusion_Home",200,18620,"5.17","358.52","567.14","712.79"
"Fusion_Gallery",200,3146,"0.87","192.59","289.27","342.52"
"Fusion_Gallery",301,306,"0.09","107.10","162.30","199.54"
"Fusion_PDP",200,32950,"9.15","377.34","511.43","601.98"
"Fusion_CART",200,40623,"11.28","38.93","84.46","95.68"
"Fusion_CART",200,10516,"2.92","41.06","92.68","98.26"
