Endpoint,StatusCode,TPS,Count,Avg,P90,P95
"content-agg*/shared-components/zones/SiteWidePromo/s*",200,"30.25",108901,"8.72","10.00","10.00"
"content-agg*/shared-components/zones/SiteWidePromo/s*",400,"0.00",1,"1.00","1.00","1.00"
"content-agg*/shared-components/zones/SiteWidePromo/s*",404,"0.05",171,"5.84","7.00","7.00"
"content-agg*/shared-components/zones/SiteWidePromo/g*",200,"0.03",114,"9.46","10.70","11.00"
"content-agg*/shared-components/zones/SiteWidePromo/cart*",200,"0.00",1,"9.00","9.00","9.00"
"content-agg*/shared-components/zones/SiteWidePromo/p*",200,"50.93",183362,"22.69","32.51","46.80"
"content-agg*/shared-components/zones/SiteWidePromo/p*",404,"0.01",44,"9.41","12.40","17.00"
"content-agg*/shared-components/zones/SiteWidePromo/checkout/oc*",200,"2.74",9850,"9.68","11.00","11.00"
"content-agg*/shared-components/zones/SiteWidePromo/home*",200,"0.00",3,"9.00","9.80","9.90"
