Endpoint,StatusCode,TPS,Count,Avg,P90,P95
"content-agg*/shared-components/zones/SiteWidePromo/s*",200,"29.22",106909,"8.56","10.00","10.00"
"content-agg*/shared-components/zones/SiteWidePromo/s*",404,"0.04",135,"5.79","7.00","7.00"
"content-agg*/shared-components/zones/SiteWidePromo/g*",200,"0.02",58,"9.41","11.00","11.00"
"content-agg*/shared-components/zones/SiteWidePromo/p*",200,"50.34",184199,"22.70","32.62","47.51"
"content-agg*/shared-components/zones/SiteWidePromo/p*",404,"0.02",59,"25.83","11.20","13.10"
"content-agg*/shared-components/zones/SiteWidePromo/checkout/oc*",200,"2.65",9683,"9.51","11.00","11.00"
"content-agg*/shared-components/zones/SiteWidePromo/home*",200,"0.00",1,"9.00","9.00","9.00"
