Endpoint,StatusCode,TPS,Count,Avg,P90,P95
"content-api/shared-components/zones/SiteWidePromo/s*",200,"29.22",106908,"6.53","7.04","8.00"
"content-api/shared-components/zones/SiteWidePromo/s*",404,"0.04",135,"3.90","4.00","5.00"
"content-api/shared-components/zones/SiteWidePromo/g*",200,"50.36",184254,"7.22","8.00","8.94"
"content-api/shared-components/zones/SiteWidePromo/checkout/oc*",200,"2.65",9683,"7.42","8.00","9.00"
"content-api/shared-components/zones/SiteWidePromo/home*",200,"0.00",1,"7.00","7.00","7.00"
