Endpoint,StatusCode,Count,TPS,Avg,P90,P95
"v1/stores?",2,2,"0.00",,,
"v1/stores?",200,865332,"236.49","24.16","40.15","47.42"
"v1/stores/store",200,3290,"0.90","9.18","11.00","12.50"
"v1/stores/store",301,2071,"0.57",,,
"v1/stores/store",404,17871,"4.88","9.00","11.00","12.00"
