Endpoint,StatusCode,TPS,Count,Avg,P90,P95
"content-agg*/shared-components/zones/SiteWideTimer/s*",200,"68.26",249776,"7.33","8.97","9.00"
"content-agg*/shared-components/zones/SiteWideTimer/s*",404,"0.07",269,"5.88","7.00","7.00"
"content-agg*/shared-components/zones/SiteWideTimer/g*",200,"42.54",155644,"7.53","9.00","9.00"
"content-agg*/shared-components/zones/SiteWideTimer/p*",200,"149.81",548166,"19.72","27.96","38.42"
"content-agg*/shared-components/zones/SiteWideTimer/p*",404,"0.16",598,"8.27","11.93","14.16"
"content-agg*/shared-components/zones/SiteWideTimer/d*",200,"2.12",7764,"8.56","10.00","11.00"
"content-agg*/shared-components/zones/SiteWideTimer/home*",200,"1.11",4079,"8.37","9.15","10.00"
