Endpoint,testresponsecode,count,TPS,Avg,P90,P95
"/oauth2/token",200,70898,"19.38","115.82","165.77","180.56"
"/oauth2/token",404,3,"0.00","10.00","10.80","10.90"
"/oauth2/guest",201,81133,"22.17","14.92","18.35","59.68"
"/oauth2/samlToken",,10702,"2.92","6.53","7.00","9.00"
"/oauth2/samlToken",,42,"0.01","3.43","4.00","4.00"
"/oauth2/samlToken",,13868,"3.79","3.18","4.00","4.00"
