Summary Report
promise,200,539523,149.9,16.17,23.0,27.0
promise reserve,200,5985,1.7,72.37,208.3,247.2
v1/lightsourcing/getinventory,200,540585,150.2,10.51,15.4,18.0
v1/availability/skuLocations,2,4,0.0,,,
v1/availability/skuLocations,20,3,0.0,,,
v1/availability/skuLocations,200,735836,204.4,10.35,16.8,24.7
v1/availability/skuLocations,400,152,0.0,0.82,1.0,1.0
qualitativeStatus,200,5561,1.5,6.75,9.0,10.0
api/v2/inventory/reservations,200,3949,1.1,80.66,180.1,208.0
