Endpoint,Count,Avg,P90,P95,TPS
"Yoda-PDP",69414,"72.35","105.022201343066200","124.660402552289270","19.28"
Endpoint,Count,Avg,P90,P95,TPS,Yoda
"Yoda-gallery-g",72180,"88.07","145.534122228483280","189.427049491956200","20.05",
Endpoint,Count,Avg,P90,P95,TPS
"Yoda-Cart",26841,"130.81","213.4002086302451200","265.5581122317352000","7.46"
Endpoint,Count,Avg,P90,P95,TPS
"/",1412,"1.56","3.4343269400000010","4.1450907000000020","0.39"
"/admin/prometheus",720,"7.57","9.1767567700000000","10.0045315499999980","0.20"
"/checkout",17,"76.80","257.629112600000000","312.154360399999900","0.00"
"/checkout/0",3,"30.48","31.644592600000003","31.718622800000000","0.00"
"/checkout/5",2,"33.93","35.988477","36.245753","0.00"
"/checkout/a71dc05eff64aadb",3,"29.21","29.779172799999998","29.879131400000000","0.00"
"/checkout/account-locked",2,"29.24","32.295291","32.677500","0.00"
"/checkout/bopis",3,"130.95","231.604283","249.015072","0.00"
"/checkout/oc",2834,"143.23","108.440400175467930","118.165078904499980","0.79"
"/checkout/payment",976,"287.98","435.302789714285700","516.298144361111100","0.27"
"/checkout/prqutwwqp%7Bz%7B%7C%7Fz",1,"38.22","38.217586","38.217586","0.00"
"/checkout/q%7B%7Buu~vy~%7Bzx",1,"28.15","28.154193","28.154193","0.00"
"/checkout/review",1654,"246.47","450.247255597070760","550.169848372499900","0.46"
"/checkout/shipping",1855,"142.85","195.398149229665080","265.716326740952300","0.52"
Endpoint,Count,Avg,P90,P95,TPS
"/",1414,"1.51","3.2688391000000000","4.3014320999999990","0.39"
"/account/dashboard",2060,"64.80","78.415242258868200","83.922714981632640","0.57"
"/account/dashboard/appointments",135,"62.79","79.640778000000010","91.061373699999990","0.04"
"/admin/prometheus",720,"12.67","14.636192080000000","15.933343174999997","0.20"
"/forgotpassword",815,"36.57","51.640320312000000","55.805745106666656","0.23"
"/sessiontimeout",439,"40.56","53.457222333333330","59.645485700000000","0.12"
"/signin",9551,"50.31","60.252801156688100","65.291793667557930","2.65"
Endpoint,Count,Avg,P90,P95,TPS
"/",708,"1.68","3.3729017266666674","4.3736093874999980","0.20"
"/admin/prometheus",360,"11.84","13.156469800000002","14.457382900000000","0.10"
"/orders",4461,"80.77","125.936128225806440","152.641555275862060","1.24"
"/orders/curbside",494,"42.05","50.027977300000000","54.654834550000004","0.14"
"/orders/curbside/status",188,"42.17","49.737235600000000","56.353543800000004","0.05"
"/orders/orderdetails",2528,"59.19","82.622496700000010","92.683523106250010","0.70"
"/orders/trackorders",7060,"40.53","49.474036917333336","54.121658282047600","1.96"
Endpoint,Count,Avg,P90,P95,TPS
"/",706,"1.89","4.6058945000000000","5.9280573750000000","0.20"
"/admin/prometheus",360,"10.60","12.2465536000000000","12.7455256999999980","0.10"
"/mylist",189,"175.30","298.967962800000000","321.006636999999960","0.05"
Endpoint,Count,Avg,P90,P95,TPS
"/",707,"1.81","4.3796682177777770","5.2865995999999990","0.20"
"/admin/prometheus",360,"10.43","13.4073229000000020","14.5536666500000040","0.10"
"/rewards",439,"57.90","74.125765160000000","83.278935399999970","0.12"
"/rewards/dashboard",712,"61.48","77.776798984000000","84.676615212499980","0.20"
Endpoint,Count,Avg,P90,P95,TPS
"/",1618,"10.66","17.8014715762770520","90.5038388883332600","0.45"
"/admin/prometheus",720,"20.42","25.757242067777778","28.184310662499996","0.20"
