Endpoint,Method,testresponsecode,Count,Avg,P90,P95,TPS
"draft-order?expand=status%2Cdelivery&origin=cart&storeId=2982&akZip=75002",GET,200,174,"65.90","110.40000000000003","132.7","0.05"
"draft-order?origin=cart",GET,200,3647,"47.08","92.76365649854021","111.00769230769228","1.01"
"draft-order?origin=cart",POST,200,300,"843.75","1081.4","1259.25","0.08"
"draft-order?origin=cart&expand=billing",GET,200,3705,"63.75","102.13565217391303","120.70599999999993","1.03"
"draft-order?origin=pdp",GET,200,16412,"60.09","79.65326599326605","91.2053762708787","4.56"
"draft-order?showLoader=false&origin=pdp",GET,200,7395,"60.03","78.283802894303","90.20046493301807","2.05"
"draft-order?status=raw",GET,200,12053,"19.12","28.980227169468435","34.712857142857146","3.35"
Endpoint,Method,testresponsecode,Count,Avg,P90,P95,TPS
"Delivery Group",PUT,200,2130,"182.48","341.3622003284073","396.45102040816323","0.59"
"Delivery Group",PUT,400,130,"78.38","131.10000000000002",135,"0.04"
Endpoint,Method,testresponsecode,Count,Avg,P90,P95,TPS
"initiate-checkout",POST,401,172,"0.55",1,1,"0.05"
"initiate-checkout",POST,400,1390,"21.06","23.027160493827164",24,"0.39"
"initiate-checkout",POST,200,6861,"617.89","1380.8753492032265","1540.6047138047138","1.91"
Endpoint,Method,testresponsecode,Count,Avg,P90,P95,TPS
"Submit Order",POST,412,23,"1884.74","5948.6","6049.4","0.01"
"Submit Order",POST,400,182,"659.71","881.9","1085.6999999999998","0.05"
"Submit Order",POST,200,2775,"1490.32","6015.82757352941","6506.206666666666","0.77"
Endpoint,Method,testresponsecode,Count,Avg,P90,P95,TPS
"Best Coupon",GET,412,1179,"22.04","28.737142857142857",33,"0.33"
"Best Coupon",GET,401,11993,"0.66",1,1,"3.33"
"Best Coupon",GET,200,74850,"97.94","164.10137552134313","248.8758028454276","20.79"
